,timestamp,close_C25,close_C26,close_H0,close_H25,close_H26,high_C25,high_C26,high_H0,high_H25,high_H26,low_C25,low_C26,low_H0,low_H25,low_H26,mean_C25,mean_C26,mean_H0,mean_H25,mean_H26,open_C25,open_C26,open_H0,open_H25,open_H26,open_interest_C25,open_interest_C26,open_interest_H0,open_interest_H25,open_interest_H26,volume_C25,volume_C26,volume_H0,volume_H25,volume_H26,wd,hour,off_hours,market_close,market_open,weekend_close_period,exp_rate_open_interest,exp_rate,relevant_date
4937,2026-02-22 01:00:00-05:00,0.06,0.02,0.94,0.01,0.0,0.06,0.02,0.95,0.01,0.0,0.04,0.02,0.94,0.01,0.0,0.06,0.02,0.9462,0.01,0.0,0.06,0.02,0.95,0.01,0.0,2696842.0,1284770.0,2857778.0,705571.0,0.0,1218.0,2339.0,2035.0,1.0,0.0,6,1,True,False,False,True,-0.07952117595134078,-0.09350030731407498,2026-02-23
4938,2026-02-22 02:00:00-05:00,0.05,0.0,0.94,0.0,0.0,0.05,0.0,0.94,0.0,0.0,0.04,0.0,0.94,0.0,0.0,0.0487,0.0,0.94,0.0,0.0,0.05,0.0,0.94,0.0,0.0,2697922.0,0.0,2858403.0,0.0,0.0,1460.0,0.0,625.0,0.0,0.0,6,2,True,False,False,True,-0.12138967752966213,-0.1750599520383693,2026-02-23
4939,2026-02-22 03:00:00-05:00,0.05,0.02,0.95,0.01,0.0,0.05,0.02,0.95,0.01,0.0,0.04,0.02,0.94,0.01,0.0,0.043,0.02,0.9428,0.01,0.0,0.04,0.02,0.94,0.01,0.0,2697889.0,1284770.0,2858403.0,705571.0,0.0,83.0,327.0,361.0,100.0,0.0,6,3,True,False,False,True,-0.07954174340767277,0.0078125,2026-02-23
4940,2026-02-22 04:00:00-05:00,0.05,0.02,0.94,0.01,0.0,0.05,0.02,0.95,0.01,0.0,0.05,0.02,0.94,0.01,0.0,0.05,0.02,0.9403,0.01,0.0,0.05,0.02,0.94,0.01,0.0,2700735.0,1284770.0,2858413.0,705571.0,0.0,2846.0,279.0,336.0,93.0,0.0,6,4,True,False,False,True,-0.07961905394320161,-0.2101526717557252,2026-02-23
4941,2026-02-22 05:00:00-05:00,0.05,0.02,0.94,0.0,0.0,0.05,0.02,0.95,0.0,0.0,0.04,0.01,0.94,0.0,0.0,0.05,0.0152,0.9482,0.0,0.0,0.05,0.02,0.95,0.0,0.0,2710651.0,1284770.0,2858525.0,0.0,0.0,9964.0,192.0,612.0,0.0,0.0,6,5,True,False,False,True,-0.12168097219409119,-0.23553328290468986,2026-02-23
4942,2026-02-22 06:00:00-05:00,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,2714222.0,0.0,0.0,0.0,0.0,3571.0,0.0,0.0,0.0,0.0,6,6,True,False,False,True,-0.25,-0.25,2026-02-23
4943,2026-02-22 07:00:00-05:00,0.05,0.02,0.94,0.0,0.0,0.05,0.02,0.94,0.0,0.0,0.05,0.02,0.94,0.0,0.0,0.05,0.02,0.94,0.0,0.0,0.05,0.02,0.94,0.0,0.0,2716135.0,1284770.0,2858525.0,0.0,0.0,1913.0,46.0,1.0,0.0,0.0,6,7,True,False,False,True,-0.12180720438555893,-0.24986938349007315,2026-02-23
4944,2026-02-22 08:00:00-05:00,0.05,0.0,0.94,0.0,0.0,0.05,0.0,0.94,0.0,0.0,0.04,0.0,0.94,0.0,0.0,0.049,0.0,0.94,0.0,0.0,0.05,0.0,0.94,0.0,0.0,2716741.0,0.0,2858525.0,0.0,0.0,758.0,0.0,73.0,0.0,0.0,6,8,True,False,False,True,-0.12182113822013156,-0.22803850782190133,2026-02-23
4945,2026-02-22 09:00:00-05:00,0.05,0.0,0.95,0.0,0.0,0.05,0.0,0.95,0.0,0.0,0.05,0.0,0.94,0.0,0.0,0.05,0.0,0.94,0.0,0.0,0.05,0.0,0.95,0.0,0.0,2717209.0,1284770.0,2858536.0,0.0,0.0,468.0,0.0,50011.0,0.0,0.0,6,9,True,False,False,True,-0.12183165657683413,-0.0023177955189286636,2026-02-23
4946,2026-02-22 10:00:00-05:00,0.05,0.02,0.94,0.01,0.0,0.05,0.02,0.95,0.01,0.0,0.04,0.02,0.94,0.01,0.0,0.0494,0.02,0.9407,0.01,0.0,0.04,0.02,0.94,0.01,0.0,2717522.0,1284770.0,2858573.0,705571.0,81240.0,359.0,140.0,70.0,6.0,0.0,6,10,True,False,False,True,-0.0800723486412681,-0.2028735632183908,2026-02-23
